epoch,fisher_a,fisher_b,fisher_divergence,intra_var_a,intra_var_b,inter_dist_a,inter_dist_b,silhouette_a,silhouette_b,grad_norm_a_mean,grad_norm_b_mean,grad_norm_ratio
0,0.24629135062915455,0.37988378985747245,-0.1335924392283179,6.414815616607666,10.316354513168335,5.304034272829692,7.912526035308838,-0.0880468413233757,-0.10300532728433609,0.034867141019226416,0.02841453911928473,1.227087604763799
1,0.477084658127322,0.5052675288490392,-0.028182870721717268,2.596417951583862,1.1602073967456819,4.915330399407281,3.244675107796987,-0.03970789536833763,-0.0573616549372673,0.06064669108369834,0.07826177006490857,0.7749209260688849
2,0.5832063349905187,0.541606061997448,0.041600272993070675,1.4283451557159423,0.5692198127508163,4.073196081320445,2.4363030036290487,-0.025610556825995445,-0.0486154705286026,0.09461101222728509,0.10961378949455397,0.8631304877994466
3,0.6501988447483863,0.5135856827751841,0.13661316197320217,1.0369672775268555,0.5072109580039978,3.6988663885328505,2.2498496254285176,0.003317761467769742,-0.045334555208683014,0.11427875641097034,0.1189803278129679,0.9604843834836959
4,0.7331236686783104,0.49266258975420685,0.2404610789241035,0.8478921830654145,0.5051230698823929,3.5485218193795944,2.2098513272073532,0.01597226969897747,-0.033868156373500824,0.12493056945040373,0.12644816681466192,0.9879981870637599
5,0.7548719461340438,0.5093346486548334,0.2455372974792105,0.8154076397418976,0.47754447162151337,3.5601131399472554,2.188062030739254,0.014515861868858337,-0.046159528195858,0.12783701004733355,0.130754989424693,0.9776835349302264
6,0.7634927291687912,0.49196760619255214,0.27152512297623904,0.7320181965827942,0.455808487534523,3.396972801950243,2.104541455374824,0.025255529209971428,-0.030615372583270073,0.13844990726472167,0.13426669955882825,1.0311558816004245
7,0.7992290678187757,0.4820462237631327,0.31718284405564295,0.7607040464878082,0.4182371854782104,3.5430095831553143,2.01102239423328,0.0290233101695776,-0.02349410578608513,0.13693029492597739,0.14143145409956698,0.9681742022381895
8,0.8776287720634774,0.44829790024987654,0.4293308718136009,0.6738547801971435,0.38918404281139374,3.4791644361284044,1.8818988111284045,0.03770269826054573,-0.022961463779211044,0.14913876416663366,0.14330969971586174,1.0406745255595669
9,0.8859232723413426,0.47592258559356587,0.41000068674777673,0.5918759793043137,0.3613098472356796,3.2845953782399495,1.854137076271905,0.043192747980356216,-0.024380629882216454,0.16427950259305235,0.1472189878223801,1.1158852119836855
