epoch,fisher_a,fisher_b,fisher_divergence,intra_var_a,intra_var_b,inter_dist_a,inter_dist_b,silhouette_a,silhouette_b,grad_norm_a_mean,grad_norm_b_mean,grad_norm_ratio
0,0.22069055022663872,0.21212424191233506,0.008566308314303661,37.26482257843018,40.84235277175903,11.206912590397728,11.181822138362461,-0.14740192890167236,-0.1555297076702118,0.028518230689752677,0.026208187219873308,1.0881416394458334
1,0.54676014998689,0.3362308446792655,0.21052930530762454,1.5590537071228028,1.7035196542739868,3.8954048381911384,3.219077636135949,-0.08185729384422302,-0.0663222000002861,0.06351252748337184,0.07140143976802446,0.8895131357937007
2,0.5569784726322362,0.46066603405732814,0.09631243857490807,0.6864311695098877,0.5789977103471756,2.6729561024241977,2.267984351846907,-0.058702994138002396,-0.05448169261217117,0.10573726109993511,0.1137231357147773,0.9297778428072054
3,0.6166073519806174,0.45866995981677816,0.15793739216383929,0.6832246482372284,0.5876733660697937,2.848653656906552,2.3152452574835882,-0.03251253068447113,-0.03542620688676834,0.1098800189387928,0.13130452850939597,0.836833366052537
4,0.5868795993728904,0.5007224537349904,0.0861571456379,0.6546471059322357,0.6928952634334564,2.745042912165324,2.6305491063329907,-0.029517509043216705,-0.020466705784201622,0.1166449504131624,0.13196456317461536,0.8839110952817463
5,0.5857321400544325,0.4923338266653892,0.09339831338904331,0.7059783279895783,0.6934582710266113,2.8546921491622923,2.62177078988817,-0.032860588282346725,-0.020483676344156265,0.12028113460157518,0.13584457761152235,0.8854319242040448
6,0.6024177041553576,0.49659545823714807,0.10582224591820949,0.6253423988819122,0.6397577166557312,2.736768698692322,2.5342901786168417,-0.021558616310358047,-0.019660677760839462,0.1316377587726081,0.14093127409598039,0.9340563354475435
7,0.6261381921987796,0.5285528410282476,0.09758535117053202,0.6852985620498657,0.5638846546411515,2.925109526846144,2.457845969994863,-0.015571379102766514,-0.017064757645130157,0.12881290076523352,0.14672591445237035,0.8779150736041081
8,0.6153018341905515,0.49605902191913626,0.11924281227141525,0.6513808608055115,0.5576917260885239,2.8272999127705893,2.374958030382792,-0.011404053308069706,-0.01680189184844494,0.13617139180463167,0.1494545247250845,0.9111225166577473
9,0.6115022288541356,0.5136261658260123,0.09787606302812335,0.5919087558984757,0.5374807387590408,2.695737364557054,2.3716456095377603,-0.0039656637236475945,-0.007153516635298729,0.15025960143014397,0.15152170948126495,0.991670381939686
10,0.6048553970951808,0.5211758146079334,0.08367958248724738,0.6212152302265167,0.5056860864162445,2.7491016454166837,2.3198180476824444,-0.00043604522943496704,-0.012232029810547829,0.1490146915689921,0.15472229361362513,0.9631106058316831
11,0.6165523985120096,0.5329396037430035,0.08361279476900607,0.6258232295513153,0.49649766385555266,2.7937427865134343,2.3170152611202663,-0.004290563520044088,-0.014067442156374454,0.14616423331901804,0.15595456798604415,0.9372231017937658
12,0.5796409963135316,0.5384611142971564,0.041179882016375235,0.5976402550935745,0.5052553802728653,2.644910873307122,2.3551917579438952,-0.009744049049913883,-0.012659367173910141,0.15512613794377272,0.1564480576351981,0.9915503610149548
13,0.6149019658866252,0.5217389740530682,0.09316299183355692,0.5968714207410812,0.47307482957839964,2.721758813328213,2.2495915545357597,-0.008552287705242634,-0.0014339874032884836,0.1520785324547204,0.15998923473455778,0.9505547245193747
14,0.5835762048243297,0.5453788291217695,0.03819737570256021,0.5885605812072754,0.48137280344963074,2.6312331702974108,2.3155922929445905,-0.002126690000295639,-0.009368290193378925,0.160834997234555,0.1627751694168712,0.9880806017891257
15,0.6161667236693803,0.5303732543329185,0.08579346933646181,0.5657862752676011,0.4500794351100922,2.65221998029285,2.2064768817689684,-0.0019198391819372773,-0.006036545615643263,0.15804634172700568,0.16809939294672135,0.9401957351216652
16,0.6129993599436416,0.5147642475668608,0.09823511237678084,0.5275929391384124,0.4705901503562927,2.562057398425208,2.2230385224024456,0.005074793938547373,-0.011705566197633743,0.16606573833918922,0.16895470575632687,0.9829008772900767
17,0.57911576513133,0.5360717960538839,0.04304396907744612,0.495987257361412,0.4476143687963486,2.4223052236768936,2.21240617301729,-0.0032435283064842224,-0.009181592613458633,0.17340473114242938,0.17205642932169116,1.0078363345542525
18,0.573385925548657,0.5378897682477334,0.03549615730092359,0.5188365399837493,0.426111975312233,2.463829587565528,2.162583559089237,-0.008188932202756405,-0.0056343707256019115,0.17530178780156835,0.1732902544635805,1.0116078265805324
19,0.562578974283088,0.5206692814468377,0.041909692836250345,0.5221641927957534,0.42119773626327517,2.450206180413564,2.117190710703532,-0.00034927987144328654,-0.0031845681369304657,0.17912854405831466,0.17371358443111162,1.0311717090705323
20,0.5853348337958939,0.5210737391186516,0.06426109467724228,0.49785804450511933,0.457889461517334,2.437579158941905,2.2080472654766505,0.012407192960381508,-0.00725114531815052,0.1804533513526236,0.16819902316393642,1.0728560560555864
21,0.6064876772941432,0.5322927326005181,0.07419494469362509,0.49144487380981444,0.39923114478588106,2.4627691335148283,2.0894362171490988,0.0049752541817724705,-0.009745081886649132,0.1785670499045042,0.17430854837576396,1.0244307655827205
22,0.5828795818053749,0.5291872644078894,0.05369231739748548,0.48382426202297213,0.4167547971010208,2.4039756470256384,2.1315275179015267,-0.00019374131807126105,-0.01364092156291008,0.18383131231052022,0.17340851875447494,1.060105368697307
23,0.5864787910076411,0.497374114499869,0.0891046765077721,0.5102534323930741,0.41601628959178927,2.4717695249451532,2.0597889211442735,-0.0020418099593371153,-0.007778842467814684,0.18088939746392513,0.17848903570450503,1.0134481740879155
24,0.5740391325419044,0.5079739939355439,0.06606513860636054,0.5099870681762695,0.39668299853801725,2.444569280412462,2.0376580437024434,-0.0029377969913184643,0.0031144029926508665,0.18117093922175892,0.17980954232634602,1.0075712712578364
25,0.5783058617127215,0.5149284368679703,0.06337742484475117,0.46800642311573026,0.40997501611709597,2.3560427096154957,2.084624891810947,0.00990541186183691,-0.0052506085485219955,0.18845446570821092,0.1766578356567973,1.0667766552204625
26,0.5706941351093142,0.5130464166842005,0.057647718425113736,0.5029203027486802,0.40326604843139646,2.4204901946915522,2.062938951121436,-0.002287290059030056,-0.004626723006367683,0.184584056599851,0.18063986837215631,1.0218344823038956
27,0.5847958779463882,0.5070412799277466,0.0777545980186416,0.4981587201356888,0.4112507849931717,2.4350376354323493,2.0651411016782126,0.0034975637681782246,-0.00722389854490757,0.18607609144633044,0.18233435054715444,1.0205212604357605
28,0.5673941673541476,0.5466643973095413,0.0207297700446063,0.4554884910583496,0.36165482699871065,2.3027783658769394,2.0131564829084607,0.011264602653682232,-0.0038436581380665302,0.1914586568309646,0.18639950367001792,1.0271413967844512
29,0.5829671541964546,0.5087967790457195,0.0741703751507351,0.4389589726924896,0.39080065190792085,2.289938231309255,2.0173253854115805,-0.001118697808124125,-0.006243985146284103,0.19076365380239882,0.18752781478586825,1.0172551941037309
