epoch,fisher_a,fisher_b,fisher_divergence,intra_var_a,intra_var_b,inter_dist_a,inter_dist_b,silhouette_a,silhouette_b,grad_norm_a_mean,grad_norm_b_mean,grad_norm_ratio
0,0.26394637895026396,0.15423723872939973,0.10970914022086423,2.7046874570846557,4.278590296506882,10.05667536155142,9.604096847435441,-0.2536006271839142,-0.28958752751350403,0.035391275918138614,0.03508642328675462,1.0086883334333978
1,0.30674819870521064,0.17810271633660563,0.128645482368605,0.6937542232871056,0.35449706375598905,5.829257922870944,3.319524949024422,-0.19529680907726288,-0.18884122371673584,0.07560124500432383,0.1069596256495895,0.7068203303534157
2,0.29676974492728686,0.17430891411964128,0.12246083080764558,0.3218958477675915,0.19200027316808702,3.99397942634544,2.4461550097754508,-0.16488337516784668,-0.16301201283931732,0.12456464766979371,0.16404344116695707,0.7593393505420503
3,0.30171969953423056,0.21186340322941186,0.0898562963048187,0.20398665964603424,0.1601988273113966,3.2457222690365533,2.464746219708462,-0.15918512642383575,-0.16684772074222565,0.17073860856026926,0.1849097399778726,0.923361848581272
4,0.3161426282073815,0.22447479986751637,0.09166782833986512,0.16616813525557517,0.14361329212784768,3.0239801130631956,2.4055281693646404,-0.13921725749969482,-0.12935061752796173,0.19968979603116968,0.19903315706696942,1.0032990931806824
5,0.3122171172356952,0.22495325814697753,0.08726385908871764,0.1547404257953167,0.14297023713588713,2.9239351031274508,2.405683965074896,-0.12579983472824097,-0.13361655175685883,0.2207847128807545,0.21449246429626712,1.0293354748465264
6,0.3131701740068943,0.22125045804687554,0.09191971596001874,0.1623567622154951,0.1429064593464136,3.012201178790343,2.3861703312698035,-0.11308139562606812,-0.1366281360387802,0.2238333640728558,0.21996477282512517,1.0175872755540427
7,0.3129423470069838,0.23133625801565838,0.08160608899132543,0.16142540723085402,0.14052848882973193,3.0059493545510554,2.4222641596529217,-0.11368557810783386,-0.11786093562841415,0.2324567057826316,0.22358076976074748,1.0396989671088106
8,0.31544573260824493,0.2254945740154489,0.08995115859279604,0.16584908232092857,0.1361196143180132,3.065557190197887,2.3504273516060126,-0.10536985099315643,-0.11982443928718567,0.2412408277897673,0.23214370415558513,1.0391874217541173
9,0.31105955579533023,0.22136733733585304,0.0896922184594772,0.1667387742549181,0.12821447238326072,3.062483321097162,2.261728439234724,-0.11575514078140259,-0.13996551930904388,0.24567042710646864,0.2402834039293492,1.0224194133462055
