epoch,fisher_a,fisher_b,fisher_divergence,intra_var_a,intra_var_b,inter_dist_a,inter_dist_b,silhouette_a,silhouette_b,grad_norm_a_mean,grad_norm_b_mean,grad_norm_ratio
0,0.08304544190053846,0.24211001856853565,-0.15906457666799717,3.4168902242183687,7.367715030312538,7.022185549314576,13.433412185503979,-0.2377924919128418,-0.32738542556762695,0.03759455866932926,0.03511311568233994,1.070669669497334
1,0.20026511670395672,0.33603826877456566,-0.13577315207060894,0.6944666945934296,0.3479636350274086,4.9961538006922215,4.146803746662958,-0.15176336467266083,-0.22226616740226746,0.08381120791934045,0.09128399032644179,0.9181368872926494
2,0.2551585443034595,0.3305283843668962,-0.07536984006343667,0.3296198144555092,0.14740948393940925,3.891219584195301,2.739964285830055,-0.15084722638130188,-0.20415882766246796,0.14647293196167613,0.13476856541477253,1.0868478167917226
3,0.2869417761034007,0.3123733136284839,-0.025431537525083203,0.22894020155072212,0.13792480453848838,3.454437738066972,2.5994424741436735,-0.1305168718099594,-0.17702120542526245,0.19002282007413268,0.1522827401366359,1.247828922866408
4,0.30985561089005,0.28999013032607773,0.01986548056397225,0.1917597036063671,0.12647888839244842,3.2871302060105583,2.410549837983016,-0.12279568612575531,-0.16651256382465363,0.22003642081146582,0.1697461575183896,1.2962673857577844
5,0.3126822155798164,0.2906733646605638,0.022008850919252587,0.18596197053790092,0.11999630399048328,3.2611250689956877,2.351833409516498,-0.11713879555463791,-0.18466304242610931,0.2345918391807981,0.18230232039629765,1.286828526387079
6,0.3272425912316266,0.2800300409803384,0.04721255025128818,0.17401216834783553,0.10720366328954696,3.2298108166034774,2.192295100694955,-0.10431504994630814,-0.18189603090286255,0.24709266589111956,0.1973712437917846,1.2519182056359037
7,0.3286221260722393,0.2760923380337096,0.0525297880385297,0.18065857358276843,0.11035398833453655,3.302749409260172,2.20123709715376,-0.10292625427246094,-0.16975875198841095,0.2532139729019624,0.20391795309933805,1.2417443223410876
8,0.3290543017398799,0.2713910984241322,0.057663203315747646,0.18481520414352418,0.11137280486524105,3.3459462392209756,2.1965050579562333,-0.09914597868919373,-0.16363607347011566,0.2568573511455277,0.2058775213976663,1.2476220663895103
9,0.3250391930170724,0.27499730948319456,0.05004188353387784,0.1908819068968296,0.09857810519635678,3.3779717557659055,2.091608993715108,-0.10041619092226028,-0.16458258032798767,0.25655249525779195,0.21788310726254853,1.1774776241550047
