epoch,fisher_a,fisher_b,fisher_divergence,intra_var_a,intra_var_b,inter_dist_a,inter_dist_b,silhouette_a,silhouette_b,grad_norm_a_mean,grad_norm_b_mean,grad_norm_ratio
0,0.2503502941851844,0.1604754771558391,0.0898748170293453,2.332689174413681,4.669571161270142,9.382753022584048,9.385039995920778,-0.2369086891412735,-0.3152697682380676,0.03814165536981608,0.03907979972349505,0.9759938863490693
1,0.2916797984080793,0.13352361537201077,0.15815618303606852,0.7152533176541328,0.3110806581377983,5.8641149615880215,2.707806102874303,-0.18474575877189636,-0.20221959054470062,0.08271581932940471,0.11379826812029495,0.7268635404304334
2,0.29119443681928403,0.19682866328167806,0.09436577353760597,0.3057125324010849,0.16999342516064644,3.89840891122818,2.4266283638368953,-0.1639571636915207,-0.1597232073545456,0.13862585948013909,0.16038667518819516,0.8643227417380547
3,0.32496003417321023,0.22887894819048474,0.0960810859827255,0.1836182528734207,0.15504237473011018,3.1965742380029023,2.506502998302681,-0.1601947396993637,-0.16916394233703613,0.18422042836345165,0.18172539044612504,1.013729659756982
4,0.32184517441732985,0.255656901644152,0.06618827277317785,0.1500594175606966,0.14946788527071475,2.8963825199218713,2.605905192419134,-0.13826915621757507,-0.13257509469985962,0.21073086865804017,0.19311252846522584,1.0912334866127136
5,0.32105634680725986,0.24844806504487024,0.07260828176238962,0.1486191076785326,0.1460611044615507,2.8973981219831138,2.542039956348111,-0.11769695580005646,-0.1350136697292328,0.22664898823677387,0.2075169249101091,1.0921951422179221
6,0.31529940089187614,0.253403091056541,0.06189630983533512,0.15649507626891135,0.13645246289670468,2.9570749842217476,2.481464102153826,-0.11224057525396347,-0.13605168461799622,0.23149122579961118,0.21591037448903191,1.0721634642421323
7,0.3066231310764938,0.25136579221821836,0.05525733885827544,0.16225724473595618,0.1299455039948225,2.979753084977468,2.4171061044630378,-0.10980284214019775,-0.12285229563713074,0.23854653986310317,0.2238622044647495,1.0655953727316763
8,0.31527522712807077,0.23294832995791825,0.08232689717015251,0.16210911333560943,0.13646677516400815,3.027355113342555,2.388900696442585,-0.10353486984968185,-0.1260008066892624,0.24477529365590803,0.2264653175440036,1.0808510791054613
9,0.3113976571608107,0.2346000299234136,0.07679762723739708,0.1715859567373991,0.1262191680818796,3.1036709748253677,2.3049714282425966,-0.11519879847764969,-0.12932443618774414,0.243140123570034,0.2337519198999295,1.0401630637835746
10,0.31730713324200227,0.24357146847978903,0.07373566476221324,0.16896802999079227,0.11740306131541729,3.11157824288715,2.2660352418308305,-0.10563705116510391,-0.11710881441831589,0.2513423242957182,0.24235268404334306,1.0370931723613
11,0.31980202115286027,0.23354069200779795,0.08626132914506232,0.17180439330637454,0.11932787671685219,3.1500981864423463,2.2357676120719523,-0.11436296254396439,-0.12698745727539062,0.252945417911291,0.24552230586512913,1.0302339199595998
12,0.3093802798086215,0.2233918015430098,0.08598847826561168,0.17352691501379014,0.11718831576406956,3.1177061983551644,2.1661904104249645,-0.11920370161533356,-0.1188139095902443,0.2611594732304986,0.2500889131218977,1.0442664551888408
13,0.3214003888397658,0.21721354634563525,0.10418684249413054,0.16276087962090968,0.11934562399983406,3.087031108165028,2.1591233703524177,-0.09657534956932068,-0.1285293698310852,0.2693343919607133,0.2480347086452019,1.0858737576410793
14,0.2980833128656353,0.2178926825444134,0.08019063032122187,0.1762509811669588,0.1177741226553917,3.0920322873496047,2.149289798188691,-0.11304304748773575,-0.12692418694496155,0.2729841093946861,0.24998387304430808,1.0920068368819655
15,0.3174025690458513,0.21632461105352963,0.10107795799232167,0.16995539218187333,0.11647284977138042,3.139744456296015,2.131423570688325,-0.09973635524511337,-0.12227677553892136,0.2728987977394902,0.254294696730524,1.0731595684713995
16,0.29238238250602966,0.21425826603266948,0.07812411647336018,0.18777353838086128,0.11475368276238442,3.1681988773923933,2.10351655843282,-0.10615929216146469,-0.11372672766447067,0.2763668381950448,0.25555366825882014,1.081443398029065
17,0.3162062205206136,0.2111022993432053,0.1051039211774083,0.1729542002826929,0.11434199441224337,3.163239784656149,2.0882844831786973,-0.10376569628715515,-0.12501658499240875,0.27994809779728824,0.2574514237566781,1.0873821664627905
18,0.3035030443424865,0.19656845482616403,0.10693458951632245,0.190766916051507,0.11497879214584827,3.2565533629330723,2.019382893075847,-0.09326010197401047,-0.1265639215707779,0.27759749505737996,0.26193773299360307,1.0597842521081788
19,0.29758804790845866,0.20593870630633085,0.09164934160212782,0.1855635756254196,0.11229361057281494,3.187171342107985,2.0416286669807002,-0.08784715086221695,-0.12957894802093506,0.28155809146085764,0.2603969834721096,1.0812647554281942
20,0.3168052466801495,0.20846822815080285,0.10833701852934663,0.17256494730710983,0.10528376363217831,3.1710530441457574,1.9888647542457387,-0.09083836525678635,-0.12270928174257278,0.2861151756648444,0.26455985412945443,1.0814761211278916
21,0.30268508058144367,0.20084749948986894,0.10183758109157473,0.18217455334961413,0.10204917244613171,3.1927498211764327,1.924388065079246,-0.09120992571115494,-0.1237049549818039,0.29109992455841255,0.26886366258160244,1.0827045608776367
22,0.30230777414665866,0.19619772650222903,0.10611004764442963,0.18548133671283723,0.10777222778648138,3.2182781064690964,1.9534667256865839,-0.09383659064769745,-0.1290854513645172,0.28775218807956915,0.2670975570600916,1.0773298732999343
23,0.30322765214298236,0.2039462882425277,0.09928136390045467,0.19123614616692067,0.09320393957197666,3.2706259949038725,1.8538859215378762,-0.09030323475599289,-0.12382305413484573,0.2887267096448387,0.27647749280708384,1.0443045336904029
24,0.3205459466691549,0.20793697834930408,0.11260896831985084,0.18214255154132844,0.0937645972892642,3.2885607866325763,1.8756905213630561,-0.09307298809289932,-0.12812308967113495,0.28727687955360265,0.2701357009791443,1.063453915486878
25,0.3148754656027263,0.20019852412112502,0.11467694148160126,0.19177836500108242,0.09495517749339343,3.3369149180132935,1.8527182287158388,-0.09012587368488312,-0.11984305083751678,0.2872083764654356,0.27450647749964885,1.0462717259671432
26,0.29997900579618103,0.20395953450636134,0.09601947128981969,0.1901885375380516,0.09286541432142258,3.248806829283936,1.8484436006347338,-0.09633015096187592,-0.11886034905910492,0.29782936477500965,0.27322483783491286,1.0900522669701083
27,0.3182661126408993,0.20736273263680696,0.11090338000409236,0.17709645710885524,0.09068323124200106,3.2321379354746655,1.839305723255331,-0.09046861529350281,-0.12422111630439758,0.2949251945172833,0.2724532052083269,1.0824801399086943
28,0.30507065800451283,0.20207898997001458,0.10299166803449825,0.18612843044102192,0.0894872634485364,3.2427089665995705,1.806070776714219,-0.09496088325977325,-0.12497133761644363,0.30181025741806566,0.2727860852894841,1.1063989793826579
29,0.3056574509430034,0.1986027941119564,0.10705465683104701,0.18285782553255558,0.0890252573043108,3.2156808329591846,1.784010914467802,-0.09912322461605072,-0.12956464290618896,0.3053904698204704,0.27600404275050927,1.1064709622091118
30,0.2959235971423113,0.1966388042655778,0.0992847928767335,0.19632134959101677,0.09000807762145996,3.2784387544911318,1.786849192730104,-0.09611708670854568,-0.13402988016605377,0.3007881191397659,0.2731768387540822,1.1010747086058517
31,0.33105338025226444,0.19877052399803366,0.13228285625423078,0.17857641145586967,0.08424524925649166,3.3092665426779275,1.735173388876096,-0.08911842107772827,-0.12231742590665817,0.30195946850344985,0.2828675174533901,1.0674942833556802
32,0.3124952720901216,0.1920916452423667,0.12040362684775494,0.19300092115998269,0.08664068661630153,3.3508063111281152,1.7289527401960256,-0.08606303483247757,-0.12914057075977325,0.30053229547050314,0.277786546842608,1.081882071207581
33,0.3253814264024891,0.19381208918163736,0.13156933722085176,0.19282511368393898,0.07774590782821178,3.4132598716923686,1.643940513988938,-0.10331614315509796,-0.12908126413822174,0.3004723511116671,0.2886485085892357,1.040962734124603
34,0.308041272109753,0.18932006340586693,0.11872120870388608,0.19391430020332337,0.08610526859760284,3.331704328433432,1.71320942877519,-0.08300158381462097,-0.12203866243362427,0.30450336018282864,0.2799690126686316,1.0876323290353291
35,0.31115555745578644,0.1874113391766314,0.12374421827915505,0.19198305681347846,0.08446056079119443,3.334003412723541,1.6862289165607607,-0.09006231278181076,-0.12683622539043427,0.3042049396804564,0.28227205068273414,1.0777012040960519
36,0.307886857917602,0.19236617160719863,0.11552068631040338,0.18996266193687916,0.0771196561679244,3.292216395067446,1.6348840420595323,-0.09443069249391556,-0.12348425388336182,0.30919015316992177,0.28783742050978134,1.0741832729062484
37,0.30967717759241764,0.1913697289573726,0.11830744863504505,0.1886357482522726,0.07864539336413146,3.2958863964947787,1.6470210040609041,-0.09247128665447235,-0.12346088886260986,0.30965014680104613,0.2865728963588341,1.0805283400145154
38,0.3121864350691215,0.19197143551174028,0.12021499955738124,0.18813686370849608,0.07812631782144308,3.3062426292233997,1.6423050220446154,-0.08749315142631531,-0.12682409584522247,0.3124726596964679,0.28456890062498724,1.0980562107441632
39,0.3155216403619916,0.1870731260464734,0.1284485143155182,0.19384597964584827,0.07556772530078888,3.372033494939708,1.5945671494591116,-0.09900876134634018,-0.1266329288482666,0.3117341646020106,0.29255316733970754,1.0655641050858609
