epoch,fisher_a,fisher_b,fisher_divergence,intra_var_a,intra_var_b,inter_dist_a,inter_dist_b,silhouette_a,silhouette_b,grad_norm_a_mean,grad_norm_b_mean,grad_norm_ratio
0,0.3104360539002143,0.042685303441229186,0.2677507504589851,2.5507180893421175,7.478269081115723,10.3595078972855,6.979502144702757,-0.2497398853302002,-0.36248481273651123,0.0434072873211315,0.03623505161422104,1.197936070407994
1,0.30567644944443884,0.12709919624953883,0.1785772531949,0.7706500309705734,0.27181720778346063,6.167547726089304,2.47488986680604,-0.17354008555412292,-0.20024433732032776,0.08184496646774403,0.12068276692918303,0.678182658290759
2,0.3033902154628029,0.20329019504406018,0.10010002041874275,0.3369037176668644,0.1592155472934246,4.127171165810691,2.3784123808506763,-0.15513162314891815,-0.14820030331611633,0.13469828383059207,0.17215348838310707,0.7824312900736825
3,0.308764100939038,0.23957642180023067,0.06918767913880733,0.2004360470175743,0.15762499146163464,3.255631966362096,2.5833804082629657,-0.14253643155097961,-0.1461409330368042,0.17794852988390455,0.18806476635537847,0.9462087124047214
4,0.30027837558421344,0.26258605464673757,0.037692320937475876,0.15606145188212395,0.14327495098114013,2.853173378597606,2.580428842577067,-0.1325833797454834,-0.14626175165176392,0.21729358114535735,0.20104067805518117,1.0808437995681508
5,0.29881520776477466,0.24721947015383347,0.05159573761094119,0.15317951887845993,0.14203521989285947,2.828449167952393,2.501433482958813,-0.1305372267961502,-0.13528695702552795,0.23379182022348552,0.22045345110574444,1.0605041946306442
6,0.30506934239007283,0.23113660610630013,0.0739327362837727,0.150745133087039,0.1421365810930729,2.8539268931897,2.4208993293058994,-0.1252848207950592,-0.12821514904499054,0.23791724607415177,0.2279386760920801,1.0437773865996607
7,0.29148894896091165,0.24057267340143632,0.05091627555947534,0.15831948943436147,0.13280150756239892,2.8695885460003456,2.3882050231911918,-0.10655897855758667,-0.12081894278526306,0.24771694975332503,0.2308481988221197,1.073072869039255
8,0.3121254067310438,0.23134910942096304,0.08077629731008074,0.15775867864489557,0.13452223658561707,2.9627006539792724,2.362192087883901,-0.1046462431550026,-0.13383765518665314,0.2481517828166752,0.23355434157111593,1.0625012171572168
9,0.31412580805727935,0.2312120911147753,0.08291371694250405,0.1596014315634966,0.13194296471774578,2.9948463931228178,2.338981134114843,-0.11469947546720505,-0.1224619448184967,0.25542370136052617,0.23621529311189574,1.0813173320931344
10,0.306929604351239,0.21553801597693245,0.09139158837430655,0.15791186243295668,0.1335811310261488,2.9510084732975623,2.2729167365004317,-0.10477359592914581,-0.125104159116745,0.26366316739252876,0.2446189439037406,1.0778525669612757
11,0.3113619613503186,0.2118786155510035,0.09948334579931506,0.15546206250786782,0.13339042089879513,2.9495155012005507,2.253212492670676,-0.10868025571107864,-0.11206398904323578,0.2697974856911908,0.24755672397364886,1.0898410290059382
12,0.31559798496374325,0.2160314175821007,0.09956656738164255,0.15480720438063145,0.12129255086183548,2.9694195213883816,2.168469431773581,-0.10517257452011108,-0.1199108362197876,0.27417473652312485,0.25374100560838414,1.08052983025132
13,0.316965973929128,0.2172412662006121,0.09972470772851591,0.15608948655426502,0.11746008835732936,2.9862727117418038,2.1426550890700984,-0.10596572607755661,-0.11632028222084045,0.27631331443481544,0.2581931742829386,1.0701805130999125
