epoch,fisher_a,fisher_b,fisher_divergence,intra_var_a,intra_var_b,inter_dist_a,inter_dist_b,silhouette_a,silhouette_b,grad_norm_a_mean,grad_norm_b_mean,grad_norm_ratio
0,0.137606868187055,0.21931806622765362,-0.08171119804059862,9.798248291015625,10.431773233413697,4.803397027651469,6.097230435742272,-0.1202789917588234,-0.12552480399608612,0.03823045097106728,0.031678303026511784,1.206833550103251
1,0.4797454828106981,0.4295887040942869,0.05015677871641122,1.5221904873847962,0.48904848396778106,3.7295186519622803,1.9440916452142927,-0.056358177214860916,-0.07345835864543915,0.07283035724748613,0.08539810950592706,0.852833266924939
2,0.5521717524340277,0.40068557964665497,0.15148617278737275,0.7577683746814727,0.3887464255094528,2.8637709617614746,1.6945178356435564,-0.03944433107972145,-0.06286205351352692,0.1077825580953683,0.1048152500553632,1.0283097903724876
3,0.6545602813335595,0.3766048764684252,0.27795540486513426,0.6813922882080078,0.3641020953655243,2.957627709706624,1.593759239382214,-0.035626184195280075,-0.05700206384062767,0.11455830323539339,0.1139228158228833,1.0055781394810033
4,0.6264709042767663,0.3817419491207809,0.24472895515598542,0.733103734254837,0.3475847214460373,3.0067868563863964,1.5692637224992116,-0.029987964779138565,-0.05664379894733429,0.11886501562948164,0.11995810250179903,0.9908876786278128
5,0.6879655480848753,0.3259867942501827,0.36197875383469263,0.6952421367168427,0.3382714927196503,3.0719582226541307,1.4417440109782749,-0.025371022522449493,-0.05276364088058472,0.12231728560107483,0.12804856701461692,0.9552412721237202
6,0.675628271018867,0.3301760049116512,0.3454522661072158,0.7221571028232574,0.31551786661148074,3.1131200591723123,1.4064814819229974,-0.01825915277004242,-0.05593789368867874,0.12276933965174872,0.13051804500491943,0.9406310846964534
7,0.6956724340918048,0.36366243714013435,0.33200999695167044,0.7397169053554535,0.2894597604870796,3.1938986870977613,1.4071250438690186,-0.019075047224760056,-0.051605064421892166,0.1244743095861183,0.1308684255431184,0.9511408084733055
8,0.7342767300576462,0.3365375257624769,0.39773920429516924,0.5076416552066803,0.24339733570814132,2.7248655451668635,1.2456436965200637,-0.002481016330420971,-0.051448773592710495,0.15375700729133987,0.13572991321011027,1.1328158423351027
9,0.7155179594992038,0.3207780139104941,0.39473994558870973,0.4043901711702347,0.22758581340312958,2.405151457256741,1.1823599457740783,-0.010506484657526016,-0.061267152428627014,0.1768057491674018,0.140053900456009,1.2624120854014753
10,0.7428907787319332,0.3072454339217559,0.4356453448101773,0.3757905960083008,0.23753172606229783,2.3550750719176397,1.181828233268526,-0.007816342636942863,-0.05260166898369789,0.18375666470257276,0.14058998822000499,1.3070393842314272
11,0.7338529780242543,0.3033503714520363,0.430502606572218,0.35065287053585054,0.22914407253265381,2.2715707540512087,1.150651741027832,-0.007338236086070538,-0.05246078595519066,0.19134756266922448,0.14365738554809002,1.3319715420092657
12,0.7402715907972652,0.29723739780729747,0.44303419298996777,0.33594578206539155,0.20858454406261445,2.2319973276721106,1.091763703690635,0.006180499214679003,-0.055075086653232574,0.195016872803914,0.14378379845784475,1.3563201232153341
